 Plate No,Thick,DISCHARGE_TEMP,HEATING_TIME,P1_TEMP,LAST_PASS_TEMP,FINAL_TEMP,LAST_ROUGH_RED,last_pass_no,FIRST_FIN_RED,FINAL_RED,WAITING_THICK,RESTART_TEMPR,START_TEMPR,WAIT_TIME,C,Mn,P,S,SI,Al,Nb,V,Cu,Charpy
SCC074397,22,1236,5.00,1142.23,853.73,857.02,27.34,13,22.13,17.72,43.46,967.30,1141.85,52.66,0.180,1.290,0.021,0.023,0.270,0.025,0.040,0.032,0.002,Pass
SCC074398,22,1246,5.09,1137.04,868.85,859.14,26.47,13,22.02,18.08,43.45,962.43,1149.47,77.29,0.180,1.290,0.021,0.023,0.270,0.025,0.040,0.032,0.002,Pass
SCC074403,16,1232,5.27,1121.82,911.27,858.76,37.44,13,23.21,14.10,31.48,968.06,1138.58,42.86,0.166,1.223,0.024,0.025,0.203,0.015,0.033,0.035,0.002,Pass
SCC074404,16,1242,5.35,1122.12,918.03,854.50,35.41,13,23.28,13.52,31.47,962.62,1146.23,47.90,0.166,1.223,0.024,0.025,0.203,0.015,0.033,0.035,0.002,Pass
SCC074407,16,1231,5.56,1124.98,909.76,854.39,34.57,13,23.00,14.52,31.48,964.36,1138.16,42.89,0.166,1.223,0.024,0.025,0.203,0.015,0.033,0.035,0.002,Pass
SCC074408,16,1241,5.64,1124.34,878.11,833.63,31.97,13,22.96,13.89,31.47,958.14,1144.30,47.90,0.166,1.223,0.024,0.025,0.203,0.015,0.033,0.035,0.002,Pass
SCC074413,25,1236,5.43,1133.56,840.72,821.21,15.02,15,24.91,20.43,71.33,941.94,1141.49,127.79,0.180,1.350,0.022,0.012,0.245,0.020,0.040,0.040,0.002,Pass
SCC074413,25,1236,5.43,1133.56,840.72,821.21,15.02,15,24.91,20.43,71.33,941.94,1141.49,127.79,0.180,1.350,0.022,0.012,0.245,0.020,0.040,0.040,0.002,Pass
SCC074414,25,1239,5.47,1130.85,889.37,857.05,28.29,13,23.39,20.44,71.62,927.98,1134.29,207.39,0.170,1.270,0.023,0.014,0.256,0.022,0.032,0.034,0.002,Pass
SCC074414,25,1239,5.47,1130.85,889.37,857.05,28.29,13,23.39,20.44,71.62,927.98,1134.29,207.39,0.170,1.270,0.023,0.014,0.256,0.022,0.032,0.034,0.002,Pass
SCC074415,25,1236,5.55,1136.03,832.11,819.32,15.42,15,24.93,20.48,71.33,941.12,1141.33,127.82,0.180,1.400,0.020,0.011,0.280,0.021,0.037,0.035,0.002,Pass
SCC074416,25,1244,5.59,1133.38,875.72,852.91,15.82,15,23.52,20.89,71.31,929.73,1136.88,187.33,0.180,1.400,0.020,0.011,0.280,0.021,0.037,0.035,0.002,Pass
SCC074418,25,1244,5.37,1129.06,888.46,844.35,16.45,15,22.33,20.50,71.29,929.30,1146.12,197.69,0.160,1.320,0.023,0.009,0.280,0.032,0.035,0.038,0.002,Pass
SCC074418,25,1244,5.37,1129.06,888.46,844.35,16.45,15,22.33,20.50,71.29,929.30,1146.12,197.69,0.160,1.320,0.023,0.009,0.280,0.032,0.035,0.038,0.002,Pass
SCC074419,36,1236,5.33,1144.34,907.82,871.25,14.98,13,21.50,19.09,71.36,961.73,1138.58,167.79,0.180,1.330,0.024,0.012,0.226,0.017,0.043,0.038,0.002,Pass
SCC074420,36,1250,5.44,1145.10,907.45,875.59,15.02,13,21.51,18.69,71.36,965.93,1140.75,142.28,0.180,1.330,0.024,0.012,0.226,0.017,0.043,0.038,0.002,Pass
